username;caption;tag;tagId;link
"janpowersfarmersmarkets";"Beautiful day at the markets today. Get all your fresh food needs.\n@peanutvan @thericehutbistro @popcornmanaus\n\n#janpowersfarmersmarkets #FarmersMarkets #Brisbane #BrisbaneCity #nuts #peanuts #popcorn #rice";rice;1;"https://scontent.cdninstagram.com/t51.2885-15/e35/1390131_572592986238843_684135370_n.jpg?ig_cache_key=MTIwNjgyNjE3NzUwNDU2NTMzNg%3D%3D.2"
"mrcipriani";"Tonights dinner  #salmon #rice #spinach #proteinoverload #lifeofagymrat #eatinghealthy #eatingclean #gobigorgohome";rice;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12822418_1587075591615551_1442300778_n.jpg?ig_cache_key=MTIwNjgyNTEyMjg1ODgyMjcwMQ%3D%3D.2"
"willothewhispers";"Rum fried rice with Dragon Fruit. #foodrepublic #chefcheng #yeschef #hawaiianinspired #chineseinspired #healthyfood #healthy #healthyeating #vegan #vegetarian #fruit #veggies #rum #whyistherumgone #shoyu #dragonfruit #pineapple #rice #edamame #holycrapthatsgood #getinmybelly #homemade #homecooked #homecooking #whatarecalories #itaglikeimontumblr";rice;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12816961_238541083156669_1064960037_n.jpg?ig_cache_key=MTIwNjgyNTA1MTMwNjgwMDMzMw%3D%3D.2.l"
"diehardfoodaddict";"Who needs rice when you've got an endless supply of tofu and veggies?\n\n#food #foodie #foodpic #foodpics #foodgasm #foodporn #foodlover #instafood #instagood #instagram #instadaily #instalike #rice #veggies #spicy #tofu #vegetarian #vegan #spring #eat #good #goodfood #eatclean #healthy #healthyfood";rice;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12725012_1675816069345255_1580970785_n.jpg?ig_cache_key=MTIwNjgyNDk1MDYwMTM5NDI3OA%3D%3D.2"
"tchayas";"My #apricot #pineapple #wings are almost done #cooking in the #crockpot. Also taking this to a #friend's house for #dinner #tonight. With an hour left of #cooking time, I just added some #flour to thicken the #sauce. Goes great #overrice 🍚 #rice #gravy #crockpotcooking #homemade #chicken #chickenwings 🐔 #delicious #asianfood #asianamerican #ilovemycrockpot";rice;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12826029_1689213947985203_411371888_n.jpg?ig_cache_key=MTIwNjgyNDg5NDAyODI1NDM2MQ%3D%3D.2.l"
"paulgilmore";"#tegalalang #rice#terrace#riceterraces#bali#green#hills#mountains#donations#beautiful#countryside#agriculture#friedrice#asia#water#indonesia_photography#indonesia";rice;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/10576214_1037503476323304_622209950_n.jpg?ig_cache_key=MTIwNjgyNDc2MTQyOTczMzI4OA%3D%3D.2"
"nic_furious";"Chef Nick at it again!!! #dinner #dinnertime #cajun #food #rice #chef #cooking";rice;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/10499037_1724905537754592_545624019_n.jpg?ig_cache_key=MTIwNjgyNDQ5ODk4NTY5NDQ5Mw%3D%3D.2"
"doodlebugdonna";"New #recipe #shrimp #edamame #rice delicious!  #glutenfree #ginger #teriyaki #onions #cilantro #curry 🍴";rice;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12822432_1069621449754688_1845540520_n.jpg?ig_cache_key=MTIwNjgyNDI4MzAwMzU4ODExMw%3D%3D.2"
"ncuentrorestaurant";"🇪🇸. Los invitamos a venir a #NcuentroRestaurant a disfrutar de una agradable noche mientras prueban lo mejor de nuestra cocina internacional, con agradable ambiente y atención. ¡Los esperamos!\n.\n🇺🇸. We would like to invite you to #NcuentroRestaurant to enjoy a great ambiance while you dine on dishes from our international kitchen, coupled with the best service! We look forward to seeing you!\n.\n📍🔸10779 NW 41ST Doral FL 33178 🔸\n.\n#NcuentroRestaurant #restaurant #internationalcuisine #doral #305 #miami #internationalfood #food #instafood #foodie #instafoodie #salad #beef #rice #chiken #pasta #dessert #wine #beer #timetoeat #tuesday #tuesday #tuesdaydinner #dinner #dinnertime #goodnight #bonappetite #buenprovecho";rice;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/1689096_1144261638931316_1940031122_n.jpg?ig_cache_key=MTIwNjgyNDEwOTI5NzUxOTU0Mg%3D%3D.2.l"
"brysonlifts";"Perks of working at a Mediterranean restaurant😌 my version of the Falafel wrap, with basmati rice, hummus, lettuce and tomato, tahini and red salsa!";rice;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11906108_1670926579827401_1117398968_n.jpg?ig_cache_key=MTIwNjgyNDA0Mjg4NDExOTQwMA%3D%3D.2"
