username;caption;tag;tagId;link
"asian_queen1";"This my favorite boat! A vessel of nothing but goodness 🍣 in honor of lent.\n.\n#lunchtime #break #goodeats #nurselife #scrubs #sushi #nomeat #allmine #boatloadoffun #werk #foodporn #hungerpains #blessed #blessedlife";sushi;5;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12328212_1697174450565547_175004677_n.jpg?ig_cache_key=MTIwNjgzMTcwODkxNzMxMDM3NQ%3D%3D.2"
"_amanda_anne";"Feel pretty basic tonight. Sushi and Rose 💁🏼😂 #basic #basicbitch #sushi #rose #vino";sushi;5;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12825972_749975255138929_1435813882_n.jpg?ig_cache_key=MTIwNjgzMTYyMDM0ODczMTk2MQ%3D%3D.2"
"valekw";"NEL MULINO CHE VORREI SUSHI EVERY DAY!!!!!!\n#food #foodporn #japanese #instafood #followme #yummy #amazing #instagood #photooftheday #sushi #dinner #lunch #breakfast #fresh #tasty #foodie #delish #delicious #eating #foodpic #foodpics #eat #japan #foodgasm #hot #foods";sushi;5;"https://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/12822338_176203646098125_1161168498_n.jpg?ig_cache_key=MTIwNjgzMTYxMTYxOTUwMTk3NQ%3D%3D.2.l"
"oliaandthecats";"Miya's Sushi for two, blue crab and quail egg, dessert sushi, sake cocktail. #sushi #sustainable #food #foodporn #sake #dessert";sushi;5;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/1516218_480697232123505_595752790_n.jpg?ig_cache_key=MTIwNjgzMTU4NDAyODUwNjY2Mw%3D%3D.2"
"barezzitoxalapa";"Faltan 3 días para nuestro |SEGUNDO ANIVERSARIO Viernes 18 Marzo, 21hrs|\n\nDos años de nuestro Barezzito Xalapa , un lugar que llego para quererlos y hacer que noche tras noche , seamos una familia.\nA lo largo de este tiempo , hemos valorado tus visitas, por tal motivo te invitamos a esta gran celebración de \"2 \nANIVERSARIO\"\n\nLa Pequeña Gran Diferencia #Sushi #Bar #Music\n\nReserva al 8129099 WhatsApp 2281325298 o con tu RP favorito #MiBarLocal #YoSoyBzz #AlwaysFun";sushi;5;"https://scontent.cdninstagram.com/t51.2885-15/e15/10254265_1056124837783261_1263497368_n.jpg?ig_cache_key=MTIwNjgzMTU0Mjk4MTA4NjkxNQ%3D%3D.2.l"
"barbadoshour";"#Barbados book for @driftloungebarbados next #sushi evening on Thurs 24th March #barbadoshour";sushi;5;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12816964_970621709658813_141837811_n.jpg?ig_cache_key=MTIwNjgzMTUyMjAzNzMwNzAyMQ%3D%3D.2.l"
"miguer_";"#sushi #modeloespecial 🍺🍱🍤";sushi;5;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12797951_1716737151944349_1463384599_n.jpg?ig_cache_key=MTIwNjgzMTUwNDU1NTQ0NTk4MQ%3D%3D.2.l"
"sushizuexpress";"A quien le provoca un buen sushi de cena? Los esperamos jueves, viernes y sábado aquí en @sushizuexpress partir de las 6 pm #sushi #sushizu #sushilove #sushitime #sushinight #sushiroll #tempura #tradicianal #massago #wakame";sushi;5;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12826034_751295058337919_1400902422_n.jpg?ig_cache_key=MTIwNjgzMTQ4NDY2MjY5NTU5Nw%3D%3D.2"
{"username":"kalebrothe","username":"staciehazlett"};"#5Years #sushi";sushi;5;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/1170262_1065083876881797_452265346_n.jpg?ig_cache_key=MTIwNjgzMTMyOTc3NzgzMjI0Nw%3D%3D.2"
"yozosushi";"Mulheres da mesma família jantando conosco, obrigado pela preferência . #restaurantejapones #rodizio #alacarte #jantar #familia #sushi #sashimi #temaki";sushi;5;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/1170527_964546020291052_1648026180_n.jpg?ig_cache_key=MTIwNjgzMTEyOTg2NzA4MjQxNA%3D%3D.2.l"
